"Dstat 0.9.10 CSV output"
"Author:","XXXXX",,,,"URL:","XXXXX"
"Host:","XXXXX",,,,"User:","XXXXX"
"Cmdline:","dstat --postgresql-time -a -s -i -r --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --postgresql-conn --postgresql-lockwaits --postgresql-settings --output ./metricsx.csv --noupdate 5",,,,"Date:","07 Dec 2023 16:50:05 CST"
"postgresql locks","total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"swap",,"interrupts",,,"io/total",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,,"postgresql conn",,,,,,,,,,,,,"postgresql lockswaits","postgresql settings",,,,,,,,,,,,,"postgresql all",,,,,,,,,,,,
"Time","usr","sys","idl","wai","stl","read","writ","recv","send","in","out","used","free","buff","cach","int","csw","run","blk","new","1m","5m","15m","used","free","160","161","297","read","writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH","Conn","%Con","Act","LongQ","LongX","Idl","LIdl","LWait","SQLs1","SQLs3","SQLs5","Xact1","Xact3","Locks","shared_buffers","work_mem","bgwriter_delay","max_connections","autovacuum_work_mem","temp_buffers","autovacuum_max_workers","maintenance_work_mem","checkpoint_timeout","max_wal_size","checkpoint_completion_target","wal_keep_segments","wal_segment_size","clean","back","alloc","heapr","heaph","ratio","size","grow","insert","update","delete","comm","roll"
1701939006,4.461,4.964,90.372,0.204,0,45536.354,4421306.241,0,0,45.813,761.605,108763201536,123322748928,4460445696,357676802048,28986.742,116241.773,2,0,35.301,0.370,1.540,3.640,4412469248,55585472512,0.006,0.003,0.000,0.767,29.564,10344,33024,1391375,0,0,1,100,29,1,129,0,12248,13,1,0,0,4,11,0,0,0,0,1,0,2,2,0,0.017,146227.693,140612.185,140617.617,12.400,7.122,13.689,0.002,0.001,266290,445,15205114,71235,10,0.010,2,0,0,2,0,0,0,0,0,0,0,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15122799,1943,72896866,1.000,85792004620,11257.368,36.013,1.313,2.939,7250208,7982
1701939011,0.152,0.182,91.871,7.795,0,1199308.800,539033.600,41595.600,50098,0,0,108819419136,123258060800,4460449792,357690658816,6053.800,11456.800,2,21,10.400,1.630,1.780,3.710,4412469248,55585472512,0,0,0,137.600,35.600,10344,33024,1391887,0,0,1,100,29,1,129,0,12268,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,9527.200,8031.800,4478.200,0,0,0,0,0,266112,445,15199747,71235,30,0.029,21,0,0,4,0,0,2,2,0,18,7,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15123760,48,655,0.932,85792111116,21299.200,4.800,14.400,0,111,2
1701939016,0.104,0.158,90.860,8.877,0,1399193.600,1036288,45140.600,54823.400,0,0,108836507648,123233271808,4460449792,357704519680,6058.400,11679.800,2,22,6.200,3.020,2.070,3.790,4412469248,55585472512,0,0,0,159.400,46.800,10344,33024,1391886,0,0,1,100,29,1,129,0,12268,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,6432,5608,4525.200,0,0,0,0,0,265948,445,15197202,71235,30,0.029,21,0,0,4,0,0,6,2,2,14,5,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15124651,27,719,0.964,85792528908,83558.400,41.600,45,0,79,5
1701939021,0.115,0.144,91.297,8.445,0,1255014.400,1114931.200,33121.600,41931.600,0,0,108843782144,123218296832,4460449792,357718380544,5929.600,11501.800,2,20,8.200,4.380,2.370,3.880,4412469248,55585472512,0,0,0,152.200,42.400,10344,33024,1391886,0,0,1,100,29,1,129,0,12267,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,6221,5321.400,4587.800,0,0,0,0,0,265870,445,15198332,71235,30,0.029,21,0,0,4,0,0,7,6,3,17,12,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15125435,0,740,1.000,85792692748,32768,27.800,34.800,0.800,51,5
1701939026,0.100,0.125,91.345,8.430,0,1320550.400,979763.200,30977.200,36563.400,0,0,108853223424,123202695168,4460449792,357732241408,5924.400,11568.400,3,22,6.800,5.790,2.690,3.970,4412469248,55585472512,0,0,0,160.400,36.800,10344,33024,1391889,0,0,1,100,29,1,129,0,12268,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,5751.800,4848,3984.400,0,0,0,0,0,265868,445,15197858,71235,31,0.030,22,1,1,3,0,1,8,7,6,16,12,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15126283,0,740,1.000,85792815628,24576,27.400,51.200,2,42,6
1701939031,0.088,0.127,91.787,7.998,0,1168179.200,723353.600,26246.800,31032,0,0,108857548800,123192463360,4460449792,357744254976,5756.800,11318.200,0,27,8,7.010,3,4.070,4412469248,55585472512,0,0,0,141.400,33.400,10344,33024,1391894,0,0,1,100,29,1,129,0,12268,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,5944.800,5140.800,4455.400,0,0,0,0,0,265937,445,15198564,71235,30,0.029,21,3,5,4,0,3,9,8,7,17,13,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15127006,0,741,1.000,85792922124,21299.200,22.800,23.200,0,38,4
1701939036,0.085,0.160,90.801,8.954,0,1798963.200,665190.400,27740.600,31109,0,0,108853637120,123189108736,4460449792,357762924544,6256.200,11906.200,2,17,7.600,8.130,3.300,4.160,4412469248,55585472512,0,0,0,219.600,36.400,10344,33024,1391896,0,0,1,100,29,1,129,0,12268,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,6242.800,5567.600,4442.800,0,0,0,0,0,265743,445,15201104,71235,31,0.030,22,6,8,3,0,6,17,10,8,21,19,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15128993,0,695,1.000,85793061388,27852.800,8.600,62.200,4,38,8
1701939041,0.081,0.100,89.628,10.191,0,1928396.800,575897.600,12822,13360.200,0,0,108864749568,123167215616,4460449792,357782175744,6667,11947.200,0,23,3.800,9,3.560,4.240,4412469248,55585472512,0,0,0,233,11.400,10344,33024,1391896,0,0,1,100,29,1,129,0,12268,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,3934.400,3568,2695.600,0,0,0,0,0,265743,445,15200867,71235,30,0.029,22,7,7,3,0,7,21,11,10,21,11,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15129108,0,727,1.000,85793061388,0,13,138.200,10,27,2
1701939046,0.181,0.261,88.475,11.084,0,936345.600,416972.800,17588,21929.400,81100.800,0,108901019648,123126738944,4460449792,357791772672,7591,13177.600,1,22,53.200,9.880,3.830,4.320,4411281408,55586660352,0,0,0,114,41.800,10344,33024,1391707,0,0,1,100,29,1,129,0,12267,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,9.400,13952.400,11984.400,10729.600,0,0,0,0,0,265549,445,15198804,71235,41,0.040,32,7,7,3,0,7,17,11,10,17,16,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15129641,0,694,1.000,85793110540,9830.400,0.400,1.200,0,29,5
1701939051,0.088,0.125,86.025,13.762,0,642252.800,89292.800,13068.600,16188,0,0,108908654592,123116793856,4460449792,357797933056,7357.800,12437.400,2,19,4.800,10.770,4.120,4.410,4411281408,55586660352,0,0,0,73,8.400,10344,33024,1391719,0,0,1,100,29,1,129,0,12268,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,3565.800,3040.800,2552.800,0,0,0,0,0,265549,445,15199123,71235,41,0.040,32,5,5,3,0,5,31,29,22,31,31,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15129980,0,330,1.000,85793110540,0,0.800,2.400,0,13,3
1701939056,0.348,0.371,86.248,13.032,0,1671987.200,700416,21672.400,24959.800,0,0,109316026368,122701721600,4460449792,358209908736,9779.400,48812.400,4,24,27,11.910,4.460,4.520,4411281408,55586660352,0,0,0,185.800,27,10344,33024,1391688,0,0,1,100,29,1,129,0,12266,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,58614.400,26884.400,6238.200,0,0,0,0,0,265549,445,15104692,71235,40,0.039,31,1,1,4,0,1,13,8,6,17,16,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15150234,0,451,1.000,85793192460,16384,26.400,26,0,36,3
1701939061,0.943,0.250,91.418,7.389,0,1374617.600,867532.800,34755,51868.600,0,0,109522276352,122487771136,4460449792,358426726400,6323.800,31338.400,5,21,6,12.960,4.800,4.630,4411281408,55586660352,0,0.400,0,156.600,39.400,10344,32832,1391682,0,0,1,100,29,1,129,0,12266,42,1,0,0,4,40,0,0,0,0,1,0,2,2,0,0,29845.200,14711.200,4433.800,0,0,0,0,0,265379,445,15080753,71235,40,0.039,27,0,10,8,0,0,5,4,3,22,19,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12388669,15178859,0,740,1.000,85793274380,16384,30.400,35,0.800,47,6
