"Dstat 0.9.10 CSV output"
"Author:","XXXXX",,,,"URL:","XXXXX"
"Host:","XXXXX",,,,"User:","XXXXX"
"Cmdline:","dstat --postgresql-time -a -s -i -r --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --postgresql-conn --postgresql-lockwaits --postgresql-settings --output ./metricsx.csv --noupdate 5",,,,"Date:","07 Dec 2023 22:17:27 CST"
"postgresql locks","total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"swap",,"interrupts",,,"io/total",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,,"postgresql conn",,,,,,,,,,,,,"postgresql lockswaits","postgresql settings",,,,,,,,,,,,,"postgresql all",,,,,,,,,,,,
"Time","usr","sys","idl","wai","stl","read","writ","recv","send","in","out","used","free","buff","cach","int","csw","run","blk","new","1m","5m","15m","used","free","160","161","297","read","writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH","Conn","%Con","Act","LongQ","LongX","Idl","LIdl","LWait","SQLs1","SQLs3","SQLs5","Xact1","Xact3","Locks","shared_buffers","work_mem","bgwriter_delay","max_connections","autovacuum_work_mem","temp_buffers","autovacuum_max_workers","maintenance_work_mem","checkpoint_timeout","max_wal_size","checkpoint_completion_target","wal_keep_segments","wal_segment_size","clean","back","alloc","heapr","heaph","ratio","size","grow","insert","update","delete","comm","roll"
1701958648,4.454,4.952,90.384,0.211,0,49691.303,4415072.499,0,0,46.378,760.843,108768399360,111453470720,4460695552,369462300672,28930.098,115975.813,4,2,35.238,0.780,0.910,2.250,4407582720,55590359040,0.006,0.003,0.000,0.843,29.727,10344,33984,1391168,0,0,1,100,29,1,129,0,12239,15,1,0,0,4,13,0,0,0,0,1,0,2,2,0,0.018,145879.311,140268.270,140273.309,12.368,7.104,13.654,0.002,0.001,278174,445,13767906,71235,11,0.011,2,0,0,3,0,0,0,0,0,0,0,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,20900024,2302,75433435,1.000,86067935756,11264.542,36.047,1.577,2.941,7649160,26043
1701958653,0.256,0.183,98.524,1.036,0,3491430.400,17299046.400,7462,7474,0,0,108856717312,111242280960,4460695552,369664921600,5736.200,10646.200,4,3,8.200,0.880,0.930,2.250,4407582720,55590359040,0,0,0,192.800,70.600,10344,33984,1391187,0,0,1,100,29,1,129,0,12239,15,1,0,0,4,13,0,0,0,0,1,0,2,2,0,0,10277.200,14338,4084.600,0,0,0,0,0,277988,445,13749877,71235,11,0.011,2,0,0,4,0,0,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,20910126,48,457,0.905,86103415308,7095910.400,0,0,0,18,2
1701958658,0.256,0.181,98.086,1.476,0,3786342.400,31671910.400,7607.600,7580,0,0,108940566528,111015874560,4460695552,369889972224,5886.800,10677,4,1,6.600,0.970,0.940,2.250,4407582720,55590359040,0,0,0,209,98.400,10344,33984,1391175,0,0,1,100,29,1,129,0,12239,15,1,0,0,4,13,0,0,0,0,1,0,2,2,0,0,9096.400,15093.600,4115.800,0,0,0,0,0,277709,445,13728206,71235,11,0.011,2,0,0,4,0,0,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,20920023,26,653,0.962,86141762060,7669350.400,0,0,0,19,5
1701958663,0.284,0.167,98.585,0.964,0,4946329.600,22020096,7499.200,7484.800,0,0,109044613120,110727450624,4460695552,370174554112,5997.200,10684.400,1,1,7.400,1.050,0.960,2.250,4407582720,55590359040,0,0,0,261.600,79.200,10344,33984,1391164,0,0,1,100,29,1,129,0,12239,15,1,0,0,4,13,0,0,0,0,1,0,2,2,0,0,10217,18019.200,4105.600,0,0,0,0,0,277464,445,13670975,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,20932429,0,740,1.000,86190176780,9682944,0,0,0,19,5
1701958668,0.256,0.179,98.490,1.074,0,3928883.200,29012787.200,7596.800,7542.800,0,0,109131468800,110508048384,4460695552,370389495808,5801.800,10563.400,3,1,7,1.210,1,2.250,4407582720,55590359040,0,0,0,219.200,94,10344,33984,1391173,0,0,1,100,29,1,129,0,12240,15,1,0,0,4,13,0,0,0,0,1,0,2,2,0,0,9081.200,14346.600,3638.600,0,0,0,0,0,277092,445,13643447,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,20942522,0,739,1.000,86230219276,8008499.200,0,0,0,19,5
1701958673,0.271,0.184,98.433,1.112,0,4310630.400,32268288,7515,7513.800,0,0,109228982272,110246416384,4460695552,370644676608,5786,10684.200,3,2,6.400,1.430,1.050,2.260,4407582720,55590359040,0,0,0,226.200,101.600,10344,34176,1391175,0,0,1,100,29,1,129,0,12241,15,1,0,0,4,13,0,0,0,0,1,0,2,2,0,0,9590.400,16578,3907,0,0,0,0,0,276627,445,13618754,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,20953691,0,739,1.000,86273571340,8670412.800,0,0,0,19,5
1701958678,0.246,0.190,98.478,1.086,0,4472832,30047436.800,7404.200,7363.400,0,0,109303689216,109997772800,4460695552,370916544512,5795.200,10668.600,3,2,6.400,1.480,1.060,2.260,4407582720,55590359040,0,0,0,228.200,97.800,10344,34176,1391173,0,0,1,100,29,1,129,0,12239,15,1,0,0,4,13,0,0,0,0,1,0,2,2,0,0,9588,17081.200,3826.200,0,0,0,0,0,276484,445,13595650,71235,12,0.012,3,1,1,3,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,20965494,0,733,1.000,86320650764,9415884.800,0,0,0,17,5
1701958683,0.311,0.173,98.383,1.133,0,4438425.600,25670451.200,7705,7690.600,0,0,109406183424,109741506560,4460695552,371166670848,5880.200,10831.400,3,1,7.400,1.520,1.080,2.260,4407582720,55590359040,0,0,0,251,84.600,10344,34176,1391161,0,0,1,100,29,1,129,0,12239,15,1,0,0,4,13,0,0,0,0,1,0,2,2,0,0,10783.200,16938.400,4665,0,0,0,0,0,276019,445,13575011,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,20977028,0,739,1.000,86366034444,9076736,0,0,0,19,5
1701958688,0.232,0.173,98.387,1.208,0,3642163.200,29358489.600,7541.400,7500.600,0,0,109485281280,109557248000,4460695552,371346722816,5874,10738.600,1,1,8.400,1.560,1.090,2.260,4407582720,55590359040,0,0,0,218.400,93.800,10344,33984,1391166,0,0,1,100,29,1,129,0,12238,15,1,0,0,4,13,0,0,0,0,1,0,2,2,0,0,9724.400,13221.400,4258,0,0,0,0,0,275647,445,13562071,71235,11,0.011,2,1,1,4,0,1,2,2,1,2,2,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2581681,12469421,20986537,0,679,1.000,86402308620,7254835.200,0,0,0,19,5
