"Dstat 0.9.10 CSV output"
"Author:","XXXXX",,,,"URL:","XXXXX"
"Host:","XXXXX",,,,"User:","XXXXX"
"Cmdline:","dstat --postgresql-time -a -s -i -r --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --postgresql-conn --postgresql-lockwaits --postgresql-settings --output ./metricsx.csv --noupdate 5",,,,"Date:","07 Dec 2023 19:17:15 CST"
"postgresql locks","total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"swap",,"interrupts",,,"io/total",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,,"postgresql conn",,,,,,,,,,,,,"postgresql lockswaits","postgresql settings",,,,,,,,,,,,,"postgresql all",,,,,,,,,,,,
"Time","usr","sys","idl","wai","stl","read","writ","recv","send","in","out","used","free","buff","cach","int","csw","run","blk","new","1m","5m","15m","used","free","160","161","297","read","writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH","Conn","%Con","Act","LongQ","LongX","Idl","LIdl","LWait","SQLs1","SQLs3","SQLs5","Xact1","Xact3","Locks","shared_buffers","work_mem","bgwriter_delay","max_connections","autovacuum_work_mem","temp_buffers","autovacuum_max_workers","maintenance_work_mem","checkpoint_timeout","max_wal_size","checkpoint_completion_target","wal_keep_segments","wal_segment_size","clean","back","alloc","heapr","heaph","ratio","size","grow","insert","update","delete","comm","roll"
1701947836,4.457,4.958,90.376,0.209,0,47702.091,4419124.790,0,0,45.813,760.723,108666908672,108932415488,4460584960,371833602048,28961.263,116122.012,0,0,35.272,1.400,3.360,6.080,4407582720,55590359040,0.006,0.003,0.000,0.822,29.639,10344,32256,1391775,0,0,1,100,29,1,129,0,12237,13,1,0,0,4,11,0,0,0,0,1,0,2,2,0,0.017,146070.111,140457.149,140462.114,12.386,7.114,13.673,0.002,0.001,266490,445,13635679,71235,10,0.010,1,0,0,3,0,0,0,0,0,0,0,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17640891,2069,74069106,1.000,85911296524,11259.976,36.019,1.414,2.939,7424018,16324
1701947841,0.234,0.271,98.910,0.586,0,81920,1851392,91895.600,99793.600,0,0,108755144704,108843409408,4460584960,371860987904,6369.800,12060,5,2,9.800,1.530,3.350,6.060,4407582720,55590359040,0,0.200,0,8.400,53,10344,32256,1391856,0,0,1,100,29,1,129,0,12257,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,11314,9615.600,5216.400,0,0,0,0,0,266416,445,13625274,71235,30,0.029,5,0,0,5,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17644321,49,565,0.920,85911386636,18022.400,70.600,171,8,158,2
1701947846,0.207,0.267,99.082,0.445,0,113049.600,2186444.800,109598.400,114830.400,0,0,108791857152,108804386816,4460584960,371885629440,6542.200,12650.200,1,0,7.800,1.410,3.300,6.030,4407582720,55590359040,0,0,0,11.200,68,10344,32256,1391862,0,0,1,100,29,1,129,0,12257,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,7432,6996,5464.800,0,0,0,0,0,266159,445,13624955,71235,30,0.029,2,0,0,4,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17647137,26,718,0.965,85911697932,62259.200,104.400,266,12.800,128,5
1701947851,0.209,0.274,99.127,0.391,0,113049.600,2446950.400,99976.800,111900.800,0,0,108786479104,108809297920,4460584960,371907358720,6539.400,12751.200,5,1,6.800,1.410,3.300,6.030,4407582720,55590359040,0,0,0,11.200,75.400,10344,32256,1391862,0,0,1,100,29,1,129,0,12257,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,7128.600,7078.200,5833,0,0,0,0,0,266078,445,13628603,71235,30,0.029,4,0,0,4,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17649299,0,357,1.000,85911869964,34406.400,101.400,155.600,4,103,4
1701947856,0.301,0.393,98.868,0.438,0,149094.400,1866956.800,82771.200,96981.200,0,0,108819943424,108775063552,4460584960,371923193856,7630,13798,4,0,86.200,1.700,3.320,6.020,4407582720,55590359040,0,0,0,15.400,70.400,10344,32256,1391940,0,0,1,100,29,1,129,0,12260,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,22949.800,16912.800,15726.200,0,0,0,0,0,266006,445,13627745,71235,30,0.029,2,0,0,5,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17651291,0,1102,1.000,85911951884,16384,108,200,6.800,135,9
1701947861,0.215,0.345,98.937,0.503,0,158924.800,2395340.800,92456,109454.600,0,0,108830490624,108761001984,4460584960,371942879232,7005.400,13287.800,3,0,36.800,1.800,3.320,6.010,4407582720,55590359040,0,0,0,12.600,65.800,10344,32256,1391858,0,0,1,100,29,1,129,0,12259,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,12717.400,10389.800,9554.800,0,0,0,0,0,265860,445,13628766,71235,30,0.029,2,0,0,4,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17653445,0,742,1.000,85912107532,31129.600,114.600,196.400,6.800,123,5
1701947866,0.219,0.273,98.982,0.526,0,147456,2007040,96481.200,111169,0,0,108860215296,108722806784,4460584960,371973681152,6566.600,12730.200,1,0,6.400,1.820,3.300,5.990,4407582720,55590359040,0,0,0,14.400,65,10344,32256,1391862,0,0,1,100,29,1,129,0,12257,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,6243.200,7093,5458.600,0,0,0,0,0,265911,445,13627196,71235,31,0.030,3,0,0,4,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17655070,0,735,1.000,85912230412,24576,112.400,263.800,12,119,5
1701947871,0.211,0.303,98.794,0.693,0,190054.400,2324889.600,100894.600,115811,0,0,108878798848,108694212608,4460584960,371998756864,6637,12894,2,1,6.800,2.070,3.330,5.980,4407582720,55590359040,0,0,0,15.400,72.400,10344,32256,1391862,0,0,1,100,29,1,129,0,12257,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,6743.400,7402,6150.200,0,0,0,0,0,265589,445,13626087,71235,30,0.029,3,0,0,4,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17656913,0,716,1.000,85912353292,24576,124.400,251.400,10.800,122,4
1701947876,0.181,0.273,99.221,0.325,0,121241.600,2227404.800,83762.800,99488.200,0,0,108895117312,108667113472,4460584960,372023398400,6386.200,12478.200,2,1,7.800,2.310,3.350,5.970,4407582720,55590359040,0,0,0,12.400,67.400,10344,32256,1391862,0,0,1,100,29,1,129,0,12257,33,1,0,0,4,31,0,0,0,0,1,0,2,2,0,0,6961.400,7159.200,5986.800,0,0,0,0,0,265517,445,13626029,71235,30,0.029,2,0,0,4,0,0,1,1,0,1,1,0,3145728,8096,10,1024,-1,8192,5,1048576,1800,16384,0.800,40,16777216,2577714,12434773,17658741,0,727,1.000,85912476172,24576,122.600,131.800,0.800,124,5
